id,name
3205,Maritsa Lazari
2312,Bernard Lewis
9044,Vincent Lo
5452,Jeffrey Lorberbaum
9861,Joe Mansueto
2164,Jose Roberto Marinho
7988,Roberto Irineu Marinho
6743,C. Dean Metropoulos
9070,Aristotelis Mistakidis
1009,Arturo Moreno
8393,Yoshiko Mori
2393,Adam Neumann
5385,Or Wai Sheun
7953,Richard Peery
5788,Horst Julius Pudwill
1437,P.V. Ramprasad Reddy
7796,Larry Robbins
5357,Carlos Sanchez
1783,Stephan Schmidheiny
4520,Klaus-Peter Schulenberg
3535,Charles Simonyi
8574,Mark Stevens
1976,Sze Man Bok
4533,Sarik Tara
4807,Lottie Tham
8890,Peter Thiel
5976,Elaine Wynn
6078,Denise York
5819,David Zalik
3647,Zhao Tao
7487,George Argyros
3241,John Arrillaga
4121,Charles Bronfman
2933,Peter Buck
9358,Chen Jinxia
9059,Vivien Chen
6310,Chu Lam Yiu
8417,Jean Coutu
6884,Jose Luis Cutrale
4361,Jai Hari & Yadu Hari Dalmia
7789,Bergit Douglas
7733,Alfredo Egydio Arruda Villela Filho
7712,Marcel Erni
5450,Andre Esteves
6150,Carlo Fidani
2860,Abhay Firodia
1292,Alfred Gantner
5216,Geng Jianming
7278,Mitchell Goldhar
