id,Sector,Company,Worth(BUSD)
7096,Real Estate,real estate,2.2
8966,Logistics,shipping,2.2
6576,Media & Entertainment,cable television,2.2
8331,Diversified,diversified,2.2
2571,Real Estate,real estate,2.2
2197,Real Estate,real estate,2.2
9242,Food and Beverage,bakery chain,2.2
8473,Media & Entertainment,entertainment,2.2
7326,Fashion & Retail,retail,2.2
3559,Manufacturing,plastics,2.2
1107,Healthcare,dental products,2.2
8383,Real Estate,Real Estate,2.2
5786,Automotive,automobiles,2.2
6047,Finance and Investments,private equity,2.2
7280,Finance and Investments,money management,2.2
1484,Diversified,Diversified,2.2
8018,Sports,"casinos, mixed martial arts",2.2
8499,Real Estate,real estate,2.2
8115,Finance and Investments,banking,2.2
2535,Diversified,"petroleum, diversified",2.2
6228,Diversified,Diversified,2.2
4428,Fashion & Retail,Columbia Sportswear,2.2
8792,Food and Beverage,beer,2.2
9588,Real Estate,real estate,2.2
5067,Finance and Investments,finance,2.2
5893,Finance and Investments,private equity,2.2
6069,Healthcare,"hospitals, health care",2.2
9146,Finance and Investments,banking,2.2
7250,Finance and Investments,hedge fund,2.2
7933,Sports,"casinos, mixed martial arts",2.2
3133,Service,cruises,2.2
8932,Food and Beverage,"Nutella, chocolates",2.2
7724,Diversified,investments,2.2
1929,Media & Entertainment,DirecTV,2.2
4446,Technology,SAP,2.2
1701,Service,landscape architecture,2.2
3867,Diversified,diversified,2.2
4870,Manufacturing,electrical equipment,2.2
3712,Fashion & Retail,shoes,2.2
4584,Automotive,used cars,2.2
7901,Metals & Mining,"mining, steel",2.2
4060,Technology,software services,2.1
3412,Real Estate,real estate,2.1
6417,Diversified,diversified,2.1
8758,Healthcare,Roche Holding,2.1
3315,Real Estate,real estate,2.1
3788,Technology,software,2.1
4606,Logistics,aircraft leasing,2.1
4156,Food and Beverage,"Dole, real estate",2.1
5910,Manufacturing,"manufacturing, investment",2.1
3886,Food and Beverage,consumer goods,2.1
3215,Energy,investments,2.1
1451,Manufacturing,valve manufacturing,2.1
1213,Metals & Mining,commodities,2.1
4983,Manufacturing,solar panel materials,2.1
2600,Healthcare,pharmaceuticals,2.1
2055,Finance and Investments,insurance,2.1
7805,Technology,"venture capital, Google",2.1
8555,Fashion & Retail,cosmetics,2.1
6454,Real Estate,real estate,2.1
1411,Real Estate,real estate,2.1
7360,Finance and Investments,"real estate, investments",2.1
8970,Real Estate,real estate,2.1
3354,Manufacturing,furniture,2.1
1839,Media & Entertainment,"TV, movie production",2.1
1643,Technology,business software,2.1
2013,Diversified,conglomerate,2.1
1756,Food and Beverage,nutrition supplements,2.1
3127,Food and Beverage,drugstores,2.1
8737,Technology,cooking appliances,2.1
8823,Healthcare,medical devices,2.1
5119,Diversified,diversified,2.1
8725,Manufacturing,paper & related products,2.1
6121,Sports,sports team,2.1
3319,Diversified,"forestry, mining",2.1
